Name,Port,Protocol,Popularity,Description
vatp,690,udp,0.00033,Velazquez Application Transfer Protocol
ds,2582,udp,0.00033,ARGIS DS
sitaraserver,2629,udp,0.00033,Sitara Server
icp,1112,udp,0.00033,Intelligent Communication Protocol
gm,2664,udp,0.00033,Patrol for MQ GM
im,2273,udp,0.00033,MySQL Instance Manager
ds,8026,udp,0.00033,CA Audit Distribution Server
license,3697,udp,0.00033,NavisWorks Licnese System
streaming,2292,udp,0.00033,Sonus Element Management Services
intelsync,3692,udp,0.00033,Brimstone IntelSync
fdm,8182,udp,0.00033,VMware Fault Domain Manager
casanswmgmt,3669,udp,0.00033,CA SAN Switch Management
lmp,701,udp,0.00033,Link Management Protocol (LMP)
smile,3670,udp,0.00033,SMILE TCP/UDP Interface
efcp,3671,udp,0.00033,e Field Control (EIBnet)
epp,700,udp,0.00033,Extensible Provisioning Protocol
orb,3672,udp,0.00033,LispWorks ORB
otnk,3769,udp,0.00033,HAIPE Network Keying
matrix,8115,udp,0.00033,MTL8000 Matrix
remctrl,2704,udp,0.00033,SMS REMCTRL
ea,3683,udp,0.00033,BMC EDV/EA
lms,2692,udp,0.00033,Admins LMS
gadgetgate2way,2678,udp,0.00033,Gadget Gate 2 Way
gadgetgate1way,2677,udp,0.00033,Gadget Gate 1 Way
sql,1114,udp,0.00033,Mini SQL
daap,3689,udp,0.00033,Digital Audio Access Protocol
mtrns,1117,udp,0.00033,ARDUS Multicast Transfer
port,3771,udp,0.00033,RTP Paging Port
vista,7980,udp,0.00033,Quest Vista
brm,7933,udp,0.00033,Tier 2 Business Rules Manager
medimageportal,7720,udp,0.00033,MedImage Portal
disclose,667,udp,0.00033,campaign contribution disclosures - SDR Technologies
dynauth,3799,udp,0.00033,RADIUS Dynamic Authorization
tcl,2589,udp,0.00033,quartus tcl
klio,7697,udp,0.00033,KLIO communications
pub,7680,udp,0.00033,Pando Media Public Distribution
sybaseanywhere,2638,udp,0.00033,Sybase Anywhere
dialer,3796,udp,0.00033,Spaceway Dialer
rcts,2258,udp,0.00033,Rotorcraft Communications Test System
ip,3813,udp,0.00033,Rhapsody Interface Protocol
lansurveyorxml,3815,udp,0.00033,LANsurveyor XML
backburner,2635,udp,0.00033,Back Burner
silhouette,7500,udp,0.00033,Silhouette User
electronics,2634,udp,0.00033,PK Electronics
port,2251,udp,0.00033,Distributed Framework Port
port,652,udp,0.00033,HELLO_PORT
pmdfmgt,7633,udp,0.00033,PMDF Management
dddp,9131,udp,0.00033,Dynamic Device Discovery
nitrogen,7725,udp,0.00033,Nitrogen Service
aiagent,7738,udp,0.00033,HP Enterprise Discovery Agent
port,3776,udp,0.00033,Device Provisioning Port
pem,3783,udp,0.00033,Impact Mgr./PEM Gateway
ubroker,7887,udp,0.00033,Universal Broker
mfserver,2266,udp,0.00033,M-files Server
dispatcher,2657,udp,0.00033,SNS Dispatcher
lm,2646,udp,0.00033,AND License Manager
client,7801,udp,0.00033,Secure Server Protocol - client
data,7727,udp,0.00033,Trident Systems Data
2,2265,udp,0.00033,Audio Precision Apx500 API Port 2
altbsdp,7799,udp,0.00033,Alternate BSDP Service
port,3788,udp,0.00033,SPACEWAY Routing port
reminders,7787,udp,0.00033,Popup Reminders Receive
prgp,7747,udp,0.00033,Put/Run/Get Protocol
comotionback,2262,udp,0.00033,CoMotion Backup Server
scriptview,7741,udp,0.00033,ScriptView Network
srv,2641,udp,0.00033,HDL Server
1,2264,udp,0.00033,Audio Precision Apx500 API Port 1
data,8199,udp,0.00033,VVR DATA
wbem,2301,udp,0.00033,Compaq HTTP
host,2332,udp,0.00033,RCC Host
arcpd,3513,udp,0.00033,Adaptec Remote Protocol
iapp,3517,udp,0.00033,IEEE 802.11 WLANs WG IAPP
nssocketport,3522,udp,0.00033,DO over NSSocketPort
feedback,2737,udp,0.00033,SRP Feedback
exec,2342,udp,0.00033,Seagate Manage Exec
cds2,8901,udp,0.00033,JMB-CDS 2
wrs_registry,2340,udp,0.00033,WRS Registry
remote,3537,udp,0.00033,Remote NI-VISA port
diradm,3538,udp,0.00033,IBM Directory Server
razor,3555,udp,0.00033,Vipul's Razor
port,3571,udp,0.00033,MegaRAID Server Port
proxy,2335,udp,0.00033,ACE Proxy
1,3573,udp,0.00033,Advantage Group UPS Suite
client,2334,udp,0.00033,ACE Client Auth
port,3575,udp,0.00033,Coalsere CCM Port
timing,2739,udp,0.00033,TN Timing
broker,3507,udp,0.00033,Nesh Broker Port
tell,754,udp,0.00033,send
vergencecm,2771,udp,0.00033,Vergence CM
worldwire,2371,udp,0.00033,Compaq WorldWire Port
port,3486,udp,0.00033,IFSF Heartbeat Port
ltcudp,3487,udp,0.00033,LISA UDP Transfer Channel
casp,1130,udp,0.00033,CAC App Service Protocol
dir,9101,udp,0.00033,Bacula Director
ssl,9089,udp,0.00033,IBM Informix SQL Interface - Encrypted
sqlexec,9088,udp,0.00033,IBM Informix SQL Interface
port,3668,udp,0.00033,Dell Remote Management
net2display,9086,udp,0.00033,Vesa Net2Display
media,3499,udp,0.00033,SccIP Media
ping,3503,udp,0.00033,MPLS LSP-echo Port
ridgeway2,2777,udp,0.00033,Ridgeway Systems & Software
glrpc,9080,udp,0.00033,Groove GLRPC
saphostctrls,1129,udp,0.00033,SAPHostControl over SOAP/HTTPS
rbakcup1,2773,udp,0.00033,RBackup Remote Backup
3506,3506,udp,0.00033,APC 3506
rsyscon,9085,udp,0.00033,IBM Remote System Console
sftm,2328,udp,0.00033,Netrix SFTM
lm,2524,udp,0.00033,Optiwave License Management
bjnp3,8613,udp,0.00033,Canon BJNP Port 3
dataprotect,3612,udp,0.00033,HP Data Protector
bjnp4,8614,udp,0.00033,Canon BJNP Port 4
bus,8442,udp,0.00033,CyBro A-bus Protocol
tdp,711,udp,0.00033,Cisco TDP
engine,3665,udp,0.00033,Enterprise Engine Port
port,3614,udp,0.00033,Invensys Sigma Port
ash,710,udp,0.00033,Entrust Administration Service Handler
tsp,3653,udp,0.00033,Tunnel Setup Protocol
tnp,8321,udp,0.00033,Thin(ium) Network Protocol
2,3619,udp,0.00033,AAIR-Network 2
bnetfile,1120,udp,0.00033,Battle.net File Transfer Protocol
pcp,3620,udp,0.00033,EPSON Projector Control Port
upgrade,3624,udp,0.00033,Distributed Upgrade Port
nmmp,3649,udp,0.00033,Nishioka Miyuki Msg Protocol
blp3,8292,udp,0.00033,Bloomberg professional
cm,3609,udp,0.00033,CPDI PIDAS Connection Mon
bnetgame,1119,udp,0.00033,Battle.net Chat/Game Protocol
plugin,3650,udp,0.00033,PRISMIQ VOD plug-in
change,2719,udp,0.00033,Scan & Change
bjnp2,8612,udp,0.00033,Canon BJNP Port 2
agent,2612,udp,0.00033,Qpasa Agent
bjnp1,8611,udp,0.00033,Canon BJNP Port 1
pana,716,udp,0.00033,PANA Messages
hpvmmagent,1125,udp,0.00033,HP VMM Agent
vp2p,8473,udp,0.00033,Virtual Point to Point
server,3591,udp,0.00033,LOCANIS G-TRACK Server
port,8471,udp,0.00033,PIM over Reliable Transport
ns,2320,udp,0.00033,Siebel NS
xpcs,714,udp,0.00033,IRIS over XPCS
g32,2317,udp,0.00033,Attachmate G32
cntrl,3603,udp,0.00033,Integrated Rcvr Control
software,2734,udp,0.00033,CCS Software
admin,2705,udp,0.00033,SDS Admin
io,3605,udp,0.00033,ComCam IO Port
splitlock,3606,udp,0.00033,Splitlock Server
novastorbakcup,308,udp,0.000329,novastor backup
anet,212,udp,0.000329,ATEXSSTR
mail,24,udp,0.000329,any private mail system
g,211,udp,0.000329,Texas Instruments 914C/G Terminal
ldm,388,udp,0.000329,Unidata LDM Version 4
start,423,udp,0.000329,IBM Operations Planning and Control Start
custix,528,udp,0.000329,Customer IXChange
3,5903,tcp,0.000326,ff-ice | Virtual Network Computer display 3 | Flight & Flow Info for Collaborative Env
el,425,tcp,0.000326,ICAD
adm,749,tcp,0.000326,Kerberos 5 admin/changepw | kerberos administration
metagram,99,tcp,0.000326,Metagram Relay
rc,6502,tcp,0.000314,boks_servm | boks-servm | NetOp Remote Control (by Danware Data A/S) | BoKS Servm
whois,43,tcp,0.000314,nicname | Who Is
bos,7007,tcp,0.000314,basic overseer process
pcduo,5405,tcp,0.000314,netsupport | RemCon PC-Duo - new port | NetSupport
netbackup,13722,tcp,0.000314,bpjava-msvc | bpjava-msvc   client | BP Java MSVC Protocol
isdninfo,6106,tcp,0.000314,mpsserver | i4lmond | MPS Server
appleqtc,458,tcp,0.000314,apple quick time
whois,43,udp,0.000313,nicname
p3,1989,udp,0.000313,cisco RSRB Priority 3 port
b,351,udp,0.000313,MATIP Type B or bhoetty
port,1994,udp,0.000313,cisco serial tunnel port
ssl,3995,tcp,0.000304,ISS Management Svcs SSL
fmtp,8500,tcp,0.000304,Flight Message Transfer Protocol
nut,3493,tcp,0.000304,Network UPS Tools
vmrdp,2179,tcp,0.000304,Microsoft RDP for virtual machines
port,2251,tcp,0.000304,Distributed Framework Port
zoomcp,9666,tcp,0.000304,Zoom Control Panel Game Server Management
tvbus,2191,tcp,0.000304,TvBus Messaging
pktcablemmcops,3918,tcp,0.000304,PacketCableMultimediaCOPS
neteh,3828,tcp,0.000304,Netadmin Systems Event Handler
server,8100,tcp,0.000304,Xprint Server
opsmessaging,8090,tcp,0.000304,Vehicle to station messaging
r1,1580,tcp,0.000304,tn-tl-r2
adsap,3871,tcp,0.000304,Avocent DS Authorization
xpanel,3737,tcp,0.000304,XPanel Daemon
spectraport,3851,tcp,0.000304,SpectraTalk Port
annunc,1089,tcp,0.000304,FF Annunciation
hpvmmcontrol,1124,tcp,0.000304,HP VMM Control
x510,9877,tcp,0.000304,The X.510 wrapper protocol
indy,5963,tcp,0.000304,Indy Application Server
sync,62078,tcp,0.000304,Apparently used by iPhone while syncing - http://code.google.com/p/iphone-elite/source/browse/wiki/Port_62078.wiki
ssl,3077,tcp,0.000304,Orbix 2000 Locator SSL
bosh,5280,tcp,0.000304,Bidirectional-streams Over Synchronous HTTP (BOSH)
presence,5298,tcp,0.000304,XMPP Link-Local Messaging
swim,5904,tcp,0.000304,Air-Ground SWIM
in,1087,tcp,0.000304,CPL Scrambler Internal
http,1183,tcp,0.000304,LL Surfup HTTP
emcrmirccd,10004,tcp,0.000304,EMC Replication Manager Client
mt,7402,tcp,0.000304,RTPS Data-Distribution Meta-Traffic
datalnk,3369,tcp,0.000304,Satellite Video Data Link
cluster,1186,tcp,0.000304,MySQL Cluster Manager
winpoplanmess,1152,tcp,0.000304,Winpopup LAN Messenger
datalnk,3370,tcp,0.000304,Satellite Video Data Link
admin,5054,tcp,0.000304,RLM administrative interface
keysrvr,19283,tcp,0.000304,Key Server for SASSAFRAS
getdata,5200,tcp,0.000304,TARGUS GetData
datalnk,3371,tcp,0.000304,Satellite Video Data Link
https,7443,tcp,0.000304,Oracle Application Server HTTPS
keyshadow,19315,tcp,0.000304,Key Shadow for SASSAFRAS
cas,3030,tcp,0.000304,Arepa Cas
web,3011,tcp,0.000304,Trusted Web
exp1,1021,tcp,0.000301,RFC3692-style Experiment 1 (*)    [RFC4727] | RFC3692-style Experiment 1
rpc17,32777,tcp,0.000301,filenet-obrok | Sometimes an RPC port on my Solaris box (walld) | FileNet BPM CORBA
rpc21,32779,tcp,0.000301,Sometimes an RPC port on my Solaris box
trans,9040,tcp,0.000301,"Tor TransPort, www.torproject.org"
audit,182,udp,0.000297,Unisys Audit SITP
config,452,udp,0.000297,Cray SFS config server
prosharevideo,5714,udp,0.000297,proshare conf video
x25,1439,udp,0.000297,Eicon X25/SNA Gateway
sysmgr,616,tcp,0.000289,SCO System Administration Server
servexec,2021,tcp,0.000289,xinuexpansion1
doom,666,tcp,0.000289,mdqs | Id Software Doom | doom Id Software
rpc19,32778,tcp,0.000289,Sometimes an RPC port on my Solaris box (rstatd)
epp,700,tcp,0.000289,Extensible Provisioning Protocol
broker,392,udp,0.00028,SynOptics Port Broker Port
atex_elmd,1385,udp,0.00028,Atex Publishing License Manager
kis,186,udp,0.00028,KIS Protocol
maint,51,udp,0.00028,IMP Logical Address Maintenance
ingreslock,1524,tcp,0.000276,ingres
ekshell,545,tcp,0.000276,Kerberos encrypted remote shell -kfall | appleqtcsrvr
ctf,84,tcp,0.000276,Common Trace Facility
compaqdiag,49400,tcp,0.000276,Compaq Web-based management
2,5802,tcp,0.000276,"Virtual Network Computer HTTP Access, display 2"
rwhois,4321,tcp,0.000276,Remote Who Is
msql,1112,tcp,0.000276,icp | mini-sql server | Intelligent Communication Protocol
udt_os,3900,udp,0.000264,Unidata UDT OS
acas,62,udp,0.000264,ACA Services
kx,2111,tcp,0.000263,dsatp | X over kerberos | OPNET Dynamic Sampling Agent Transaction Protocol
deslogind,3006,tcp,0.000263,ii-admin | Instant Internet Admin
2,1084,tcp,0.000263,Anasoft License Manager
rpc23,32780,tcp,0.000263,Sometimes an RPC port on my Solaris box
DragonIDSConsole,9111,tcp,0.000251,"hexxorecore | Dragon IDS Console | Multiple Purpose, Distributed Message Bus"
osxwebadmin,16080,tcp,0.000251,Apple OS X WebAdmin
sybase,2638,tcp,0.000251,sybaseanywhere | Sybase database | Sybase Anywhere
powerchuteplus,6547,tcp,0.000251,apc-6547 | APC 6547
napster,6699,tcp,0.000251,babel-dtls | Napster File (MP3) sharing  software | Babel Routing Protocol over DTLS
cmp,157,udp,0.000247,KNET/VM Command/Message Protocol
isqlplus,5560,tcp,0.000238,Oracle web enabled SQL interface (version 10g+)
places,1533,tcp,0.000238,Virtual Places Software
ekshell,2106,tcp,0.000238,mzap | Kerberos (v4) encrypted rshell | MZAP
7,6007,tcp,0.000238,X Window server
lm,1443,tcp,0.000238,Integrated Engineering Software
disclose,667,tcp,0.000238,campaign contribution disclosures - SDR Technologies
blp3,8292,tcp,0.000228,Bloomberg professional
tmi,8300,tcp,0.000228,Transport Management Interface
rrac,5678,tcp,0.000228,Remote Replication Agent Connection
trivnet1,8200,tcp,0.000228,TRIVNET
agent,1862,tcp,0.000228,MySQL Cluster Manager Agent
dossier,1175,tcp,0.000228,Dossier Server
m2mservices,8383,tcp,0.000228,M2m Services
sunwebadmin,8800,tcp,0.000228,Sun Web Server Admin Service
sand,1201,tcp,0.000228,Nucleus Sand Database Server
fmsas,16000,tcp,0.000228,Administration Server Access
asr,7800,tcp,0.000228,Apple Software Restore
server,5033,tcp,0.000228,Janstor Secure Data
use,4279,tcp,0.000228,VRML Multi User Systems
net,3322,tcp,0.000228,Active Networks
biotic,5087,tcp,0.000228,BIOTIC - Binary Internet of Things Interoperable Communication
onscreen,5080,tcp,0.000228,OnScreen Data Collection Service
3exmp,5221,tcp,0.000228,3eTI Extensible Management Protocol for OAMP
sv,10009,tcp,0.000228,Systemwalker Desktop Patrol
service,9878,tcp,0.000228,The KX509 Kerberized Certificate Issuance Protocol in Use in 2012
dsc,3390,tcp,0.000228,Distributed Service Coordinator
olap2,2394,tcp,0.000228,SQL Server Downlevel OLAP Client Support | MS OLAP 2
olap1,2393,tcp,0.000228,SQL Server Downlevel OLAP Client Support | MS OLAP 1
git,9418,tcp,0.000228,Git revision control system | git pack transfer service
wsp,9200,tcp,0.000228,WAP connectionless session services | WAP connectionless session service
aqos,9081,tcp,0.000228,Required for Adaptive Quality of Service
text,3221,tcp,0.000228,XML NM over TCP
vce,11111,tcp,0.000228,Viral Computing Environment (VCE)
iapp,3517,tcp,0.000228,IEEE 802.11 WLANs WG IAPP
poweronnud,3168,tcp,0.000228,Now Up-to-Date Public Server
q,3527,tcp,0.000228,VERITAS Backup Exec Server
agent,8042,tcp,0.000228,FireScope Agent
c2,5906,tcp,0.000228,Remotely Piloted Vehicle C&C
documentum_s,10003,tcp,0.000228,documentum-s | EMC-Documentum Content Server Product
ptp2,2725,tcp,0.000228,SQL Analysis Server | MSOLAP PTP2
tsa,6689,tcp,0.000228,Tofino Security Appliance
mupdate,3905,tcp,0.000228,Mailbox Update (MUPDATE) protocol
2,3914,tcp,0.000228,ListCREATOR Port 2
exasoftport1,3920,tcp,0.000228,Exasoft IP Port
bnetgame,1119,tcp,0.000228,Battle.net Chat/Game Protocol
mtrns,1117,tcp,0.000228,ARDUS Multicast Transfer
unieng,5730,tcp,0.000228,Steltor's calendar access
emcads,3945,tcp,0.000228,EMCADS Server Port
esp,6567,tcp,0.000228,eSilo Storage Protocol
port,6566,tcp,0.000228,SANE Control Port
port,6510,tcp,0.000228,MCER Port
sm,1091,tcp,0.000228,FF System Management
fms,1090,tcp,0.000228,FF Fieldbus Message Specification
service,2608,tcp,0.000228,Wag Service
lanrevserver,3971,tcp,0.000228,LANrev Server
sql,1114,tcp,0.000228,Mini SQL
http,4848,tcp,0.000228,App Server - Admin HTTP
db,4550,tcp,0.000228,Perman I Interbase Server
fotogcad,3878,tcp,0.000228,FotoG CAD interface
dsd,5907,tcp,0.000228,Distress and Safety Data App
dialout,2909,tcp,0.000228,Funk Dialout
imqbrokerd,7676,tcp,0.000228,iMQ Broker Rendezvous
unizensus,1151,tcp,0.000228,Unizensus Login Server
pwgpsi,3800,tcp,0.000228,Print Services Interface
hfcs,4900,tcp,0.000228,HyperFileSQL Client/Server Database Engine | HFSQL Client/Server Database Engine
tester,3889,tcp,0.000228,D and V Tester Control Port
dcs,3814,tcp,0.000228,netO DCS
apocd,3809,tcp,0.000228,Java Desktop System Configuration Agent
encrypted_admin,1138,tcp,0.000228,encrypted-admin | encrypted admin requests
x11,6025,tcp,0.000228,X Window System
mgmt,3869,tcp,0.000228,hp OVSAM MgmtServer Disco
caspssl,1131,tcp,0.000228,CAC App Service Protocol Encripted
2,7025,tcp,0.000228,Vormetric Service II
wormux,3826,tcp,0.000228,warmux | Wormux server | WarMUX game server
net,3324,tcp,0.000228,Active Networks
xtell,4224,tcp,0.000226,Xtell messenging server
dtmgr,617,tcp,0.000226,SCO Desktop Administration Server or Arkeia (www.arkeia.com) backup software | SCO Desktop Administration Server
xpcs,714,tcp,0.000226,IRIS over XPCS
onmux,417,tcp,0.000226,Meeting maker
http,777,tcp,0.000226,Multiling HTTP
gnutella,6346,tcp,0.000226,Gnutella file sharing protocol | gnutella-svc
down,2022,tcp,0.000226,xinuexpansion2
ptcnameservice,597,udp,0.000214,PTC Name Service
sns_credit,1076,tcp,0.000213,dab-sti-c | Shared Network Services (SNS) for Canadian credit card authorizations | DAB STI-C
amandaidx,10082,tcp,0.000213,Amanda indexing
conf,5999,tcp,0.000213,cvsup | NCD configuration telnet port | CVSup
srv1,1417,tcp,0.000201,Timbuktu Service 1 Port
m,1434,tcp,0.000201,Microsoft-SQL-Monitor
gen,259,tcp,0.000201,efficient short remote operations | Efficient Short Remote Operations
avocentkvm,2068,tcp,0.000201,avauthsrvprtcl | Avocent KVM Server | Avocent AuthSrv Protocol
kaserver,7004,tcp,0.000201,AFS/Kerberos authentication service
bigbrother,1984,tcp,0.000201,bb | Big Brother monitoring server - www.bb4.com | BB
auth,44443,tcp,0.000201,ColdFusion Advanced Security/Siteminder Authentication Port (by Allaire/Netegrity)
9,6009,tcp,0.000201,X Window server
6,6006,tcp,0.000188,X Window server
ibm_wrless_lan,1461,tcp,0.000188,ibm-wrless-lan | IBM Wireless LAN
rww,4125,tcp,0.000188,opsview-envoy | Microsoft Remote Web Workplace on Small Business Server | Opsview Envoy
pop2,109,tcp,0.000188,PostOffice V.2 | Post Office Protocol - Version 2
jetdirect,9103,tcp,0.000188,bacula-sd | HP JetDirect card | Bacula Storage Daemon
am,2013,tcp,0.000176,raid-cd
irc,6669,tcp,0.000176,Internet Relay Chat
dvs,481,tcp,0.000176,ph | Ph service
lm,1455,tcp,0.000176,ESL License Manager
irc,6668,tcp,0.000176,Internet Relay Chat
mgr,903,tcp,0.000176,ideafarm-panic | ISS Console Manager | self documenting Telnet Panic Door | self documenting Panic Door: send 0x00 for info
iiop,683,tcp,0.000176,CORBA IIOP
map,125,tcp,0.000176,Locus PC-Interface Net Map Ser
diag,5998,tcp,0.000163,NCD diagnostic telnet port
spamassassin,783,tcp,0.000163,Apache SpamAssassin spamd
Elite,31337,tcp,0.000163,eldim | Sometimes interesting stuff can be found here | eldim is a secure file upload proxy
imsp,406,tcp,0.000163,Interactive Mail Support Protocol
echo,9929,tcp,0.000163,Nping echo server mode - https://nmap.org/book/nping-man-echo-mode.html - The port frequency is made up to keep it (barely) in top 1000 TCP
auth,44442,tcp,0.000163,ColdFusion Advanced Security/Siteminder Authentication Port (by Allaire/Netegrity)
secureremote,256,tcp,0.000163,"rap | also ""rap"" | RAP"
jpda,9191,tcp,0.000152,Sun AppSvr JPDA
port,3859,tcp,0.000152,Navini Port
snif,7123,tcp,0.000152,End-to-end TLS Relay Control Connection
ip,1132,tcp,0.000152,KVM-via-IP Management Service
tcp,3863,tcp,0.000152,RSerPool ASAP (TCP)
agent,3870,tcp,0.000152,hp OVSAM HostAgent Disco
empowerid,7080,tcp,0.000152,EmpowerID Communication
agent,3872,tcp,0.000152,OEM Agent
casp,1130,tcp,0.000152,CAC App Service Protocol
trim,1137,tcp,0.000152,TRIM Workgroup Service
sscan,3853,tcp,0.000152,SONY scanning protocol
7272,7272,tcp,0.000152,WatchMe Monitoring 7272
srvr,3304,tcp,0.000152,OP Session Server
dcdocbs,7278,tcp,0.000152,OMA Dynamic Content Delivery over CBS
dnspreload,3849,tcp,0.000152,SPACEWAY DNS Preload | SPACEWAY DNS Prelaod
itactionserver2,7281,tcp,0.000152,ITACTIONSERVER 2
item,3848,tcp,0.000152,IT Environmental Monitor
pcp,3846,tcp,0.000152,Astare Network PCP
veritas_pbx,1556,tcp,0.000152,veritas-pbx | VERITAS Private Branch Exchange
cdbroker,3376,tcp,0.000152,CD Broker
raid,2800,tcp,0.000152,ACC RAID
voice,1259,tcp,0.000152,Open Network Library Voice
config,3852,tcp,0.000152,SSE App Configuration
vmsvc,7024,tcp,0.000152,Vormetric service
safetynetp,40000,tcp,0.000152,SafetyNET p
serv,3888,tcp,0.000152,Ciphire Services
routematch,1287,tcp,0.000152,RouteMatch Com
servicetags,6481,tcp,0.000152,Service Tags
boks,6500,tcp,0.000152,BoKS Master
landmarks,3969,tcp,0.000152,Landmark Messages
dbns,3968,tcp,0.000152,iAnywhere DBNS
thrp,3963,tcp,0.000152,Teran Hybrid Routing Protocol
broker,3957,tcp,0.000152,MQEnterprise Broker
obrpd,1092,tcp,0.000152,Open Business Reporting Protocol
1,1102,tcp,0.000152,ADOBE SERVER 1
deepspace,1113,tcp,0.000152,Licklider Transmission Protocol
mshvlm,6600,tcp,0.000152,Microsoft Hyper-V Live Migration
prxy,3307,tcp,0.000152,OP Session Proxy
sops,3944,tcp,0.000152,S-Ops Management
port,3931,tcp,0.000152,MSR Plugin Port
port,3929,tcp,0.000152,AMS Port
service,2710,tcp,0.000152,SSO Service
h323hostcallsc,1300,tcp,0.000152,H323 Host Call Secure | H.323 Secure Call Control Signalling
wysdmc,3916,tcp,0.000152,WysDM Controller
server,1309,tcp,0.000152,JTAG server
nsesrvr,9988,tcp,0.000152,Software Essentials Secure HTTP server
port,3907,tcp,0.000152,Imoguia Port
rmpp,1121,tcp,0.000152,Datalode RMPP
mxomss,1141,tcp,0.000152,User Message Service
hpvmmdata,1126,tcp,0.000152,HP VMM Agent
web,3941,tcp,0.000152,Home Portal Web Server
policy,3824,tcp,0.000152,Compute Pool Policy
networklenss,3410,tcp,0.000152,NetworkLens SSL Event
vmp,10023,tcp,0.000152,Comtech EF-Data's Vipersat Management Protocol
port,3684,tcp,0.000152,FAXstfX
sac,8097,tcp,0.000152,SAC Port Id
server,10160,tcp,0.000152,QB Database Server
olap3,2382,tcp,0.000152,Microsoft OLAP
ui,1174,tcp,0.000152,FlashNet Remote Admin
gds_db,3050,tcp,0.000152,gds-db
id,8293,tcp,0.000152,Hiperscan Identification Service
blp4,8294,tcp,0.000152,Bloomberg intelligent client
catchpole,1185,tcp,0.000152,Catchpole port
alias,1187,tcp,0.000152,Alias Service
vnetd,13724,tcp,0.000152,Veritas Network Utility
http,20002,tcp,0.000152,Commtact HTTP
ndapi,1217,tcp,0.000152,HPSS NonDCE Gateway
rm,8675,tcp,0.000152,msi-cps-rm-disc | Motorola Solutions Customer Programming Software for Radio Management | Motorola Solutions Customer Programming Software for Radio Management Discovery
jmxrmi,8686,tcp,0.000152,Sun App Server - JMX/RMI
http,8765,tcp,0.000152,Ultraseek HTTP
amcs,8766,tcp,0.000152,Agilent Connectivity Service
d2000kernel,3119,tcp,0.000152,D2000 Kernel Port
discovery,1198,tcp,0.000152,cajo reference discovery
2,8889,tcp,0.000152,ddi-udp-2 | Desktop Data TCP 1 | NewsEDGE server broadcast
dbisamserver2,12006,tcp,0.000152,DBISAM Database Server - Admin
lifenet,1213,tcp,0.000152,MPC LIFENET | Medtronic/Physio-Control LIFENET
p2p,3514,tcp,0.000152,MUST Peer to Peer
iconp,3972,tcp,0.000152,ict-control Protocol
sensor,1192,tcp,0.000152,caids sensors channel
gilatskysurfer,3013,tcp,0.000152,Gilat Sky Surfer
remote,1166,tcp,0.000152,QSM RemoteExec
gui,1165,tcp,0.000152,QSM GUI Service
etebac5,1216,tcp,0.000152,ETEBAC 5
icue,1145,tcp,0.000152,X9 iCue Show Control
ca,3808,tcp,0.000152,Sun App Svr-IIOPClntAuth
bvtsonar,1149,tcp,0.000152,BVT Sonar Service | BlueView Sonar Service
resacommunity,1154,tcp,0.000152,Community Service
appserver,1233,tcp,0.000152,Universal App Server
easyengine,22222,tcp,0.000152,EasyEngine is CLI tool to manage WordPress Sites on Nginx server
sddp,1163,tcp,0.000152,SmartDialer Data Protocol
nitrogen,7725,tcp,0.000152,Nitrogen Service
pdu,7744,tcp,0.000152,RAQMON PDU
sitewatch,3792,tcp,0.000152,e-Watch Corporation SiteWatch
mqs,1277,tcp,0.000152,mqs
owms,7878,tcp,0.000152,Opswise Message Service
mevent,7900,tcp,0.000152,Multicast Event
secure,7913,tcp,0.000152,QuickObjects secure port
console,9444,tcp,0.000152,WSO2 ESB Administration Console HTTPS
https,9443,tcp,0.000152,WSO2 Tungsten HTTPS
smap,3731,tcp,0.000152,Service Manager
cloud,8015,tcp,0.000152,Configuration Cloud Service
s,8016,tcp,0.000152,Beckhoff Automation Device Specification
qbdb,8019,tcp,0.000152,QB DB Dynamic Port
paging,3700,tcp,0.000152,LRS NetPage
proxy,1164,tcp,0.000152,QSM Proxy Service
lotusmtap,3007,tcp,0.000152,Lotus Mail Tracking Agent Protocol
license,3697,tcp,0.000152,NavisWorks License System | NavisWorks Licnese System
scp,3820,tcp,0.000152,Siemens AuD SCP
octopus,10008,tcp,0.000152,Octopus Multiplexer
app,4658,tcp,0.000152,PlayStation2 App Port
use,4252,tcp,0.000152,VRML Multi User Systems
rsqlserver,4430,tcp,0.000152,REAL SQL Server
x11,6051,tcp,0.000152,X Window System
bre,4096,tcp,0.000152,BRE (Bridge Relay Element)
use,4200,tcp,0.000152,VRML Multi User Systems
hpvirtgrp,5223,tcp,0.000152,HP Virtual Machine Group Management
school,1971,tcp,0.000152,NetOp School
agent,3993,tcp,0.000152,BindView-Agent
diameters,5868,tcp,0.000152,Diameter over TLS/TCP | Diameter over DTLS/SCTP
munin,4949,tcp,0.000152,Munin Graphing Framework
is,3990,tcp,0.000152,BindView-IS
rsip,4555,tcp,0.000152,RSIP Port
hwm,4009,tcp,0.000152,Chimera HWM
x11,6060,tcp,0.000152,X Window System
esri_sde,5151,tcp,0.000152,esri-sde | ESRI SDE Instance | ESRI SDE Remote Start
silverpeakcomm,4164,tcp,0.000152,Silver Peak Communication Protocol
csrpc,5063,tcp,0.000152,centrify secure RPC
oidsr,4143,tcp,0.000152,Document Replication
vrxpservman,4147,tcp,0.000152,Multum Service Manager
ets,5081,tcp,0.000152,SDL - Ent Trans Server
